,,,,
,,,,
Part, Value            ,Device             ,Package               ,Description                  
C1,0.1uF            ,C-EUC0805          ,C0805                 ,CAPACITOR
C2,10uf             ,C-EUC1206          ,C1206                 ,CAPACITOR
C3,22pf             ,C-EUC0805          ,C0805                 ,CAPACITOR
C4,22pf             ,C-EUC0805          ,C0805                 ,CAPACITOR
CN1,                   ,USBMINIB           ,USB-MINIB             ,USB Connectors               
D1,3.3v             ,ZENER-DIODESOD80C  ,SOD80C                ,Z-Diode                      
D2,3.3v             ,ZENER-DIODESOD80C  ,SOD80C                ,Z-Diode                      
F1,6V/0.5A          ,PPTC_HALF-AMP      ,1206,Resettable Fuse PPTC         
J1,AVR_SPI_PRG_6PTH ,AVR_SPI_PRG_6PTH   ,2X3                   ,AVR ISP 6 Pin                
LED1,                  ,LED0805            ,CHIPLED_0805          ,LED                          
LED2,                  ,LED0805            ,CHIPLED_0805          ,LED                          
R1,1k              ,R-US_R0805         ,R0805                 ,RESISTOR
R2,1k               ,R-US_R0805         ,R0805                 ,RESISTOR
R3,68,R-US_R0805         ,R0805                 ,RESISTOR
R4,68,R-US_R0805         ,R0805                 ,RESISTOR
R5,1.5k             ,R-US_R0805         ,R0805                 ,RESISTOR
R6,10k              ,R-US_R0805         ,R0805                 ,RESISTOR
SJ1,SOLDERJUMPERNC2  ,SOLDERJUMPERNC2    ,SJ_2S-NOTRACE         ,Solder Jumper                
SJ3,SOLDERJUMPERNC2 ,SOLDERJUMPERNC2    ,SJ_2S-NOTRACE         ,Solder Jumper                
U,ATTINY84         ,ATTINY84           ,SO14                  ,Atmel 14-pin 2/4/8kB flash uC
Y1,                    ,CRYSTALSMD-3.2X2.5 ,CRYSTAL-SMD-3.2X2.5MM ,Crystals (Generic)           
